image_name,id,race,split
000024_00@ja.jpg,m.03d1zd3,2,test
000004_00@ms.jpg,m.03d1zd3,2,test
000019_00@ja.jpg,m.03d1zd3,2,test
000008_00@ms.jpg,m.03d1zd3,2,test
000014_00@ja.jpg,m.03d1zd3,2,test
000009_00@en.jpg,m.03d1zd3,2,test
000000_00@ms.jpg,m.03d1zd3,2,test
000012_00@en.jpg,m.03d1zd3,2,test
000015_00@fr.jpg,m.03d1zd3,2,test
000005_00@ja.jpg,m.03d1zd3,2,test
000029_00@ja.jpg,m.03d1zd3,2,test
000027_00@ja.jpg,m.03d1zd3,2,test
000004_00@ja.jpg,m.03d1zd3,2,train
000012_00@ja.jpg,m.03d1zd3,2,train
000016_00@ja.jpg,m.03d1zd3,2,train
000003_00@en.jpg,m.03d1zd3,2,train
000000_00@en.jpg,m.03d1zd3,2,train
000007_00@fr.jpg,m.03d1zd3,2,train
000017_00@ja.jpg,m.03d1zd3,2,train
000007_00@ms.jpg,m.03d1zd3,2,train
000021_00@ja.jpg,m.03d1zd3,2,train
000010_00@fr.jpg,m.03d1zd3,2,train
000014_00@en.jpg,m.03d1zd3,2,train
000022_00@ja.jpg,m.03d1zd3,2,train
000001_00@ja.jpg,m.03d1zd3,2,train
000008_00@ja.jpg,m.03d1zd3,2,train
000010_00@ja.jpg,m.03d1zd3,2,train
000008_00@en.jpg,m.03d1zd3,2,train
000023_00@ja.jpg,m.03d1zd3,2,train
000023_00@en.jpg,m.03d1zd3,2,train
000003_00@fr.jpg,m.03d1zd3,2,train
000005_00@en.jpg,m.03d1zd3,2,train
000018_00@ja.jpg,m.03d1zd3,2,train
000028_00@fr.jpg,m.03d1zd3,2,train
000007_00@ja.jpg,m.03d1zd3,2,train
000001_00@fr.jpg,m.03d1zd3,2,train
000008_00@fr.jpg,m.03d1zd3,2,train
000006_00@en.jpg,m.03d1zd3,2,train
000002_00@en.jpg,m.03d1zd3,2,train
000010_00@ms.jpg,m.03d1zd3,2,train
000002_00@ms.jpg,m.03d1zd3,2,train
000005_00@ms.jpg,m.03d1zd3,2,train
000022_00@ms.jpg,m.03d1zd3,2,train
000005_00@fr.jpg,m.03d1zd3,2,train
000001_00@ms.jpg,m.03d1zd3,2,train
000020_00@ja.jpg,m.03d1zd3,2,train
000000_00@ja.jpg,m.03d1zd3,2,train
000003_00@ja.jpg,m.03d1zd3,2,train
000004_00@en.jpg,m.03d1zd3,2,train
000009_00@ja.jpg,m.03d1zd3,2,train
000006_00@ms.jpg,m.03d1zd3,2,train
000025_00@ms.jpg,m.03d1zd3,2,train
000006_00@ja.jpg,m.03d1zd3,2,train
000012_00@ms.jpg,m.03d1zd3,2,train
000015_00@ja.jpg,m.03d1zd3,2,train
000022_00@fr.jpg,m.03d1zd3,2,train
000001_00@en.jpg,m.03d1zd3,2,train
000018_00@ms.jpg,m.03d1zd3,2,train
000002_00@fr.jpg,m.03d1zd3,2,train
000000_00@fr.jpg,m.03d1zd3,2,train
000055_00@ja.jpg,m.0l4q406,2,test
000018_00@ja.jpg,m.0l4q406,2,test
000056_00@ja.jpg,m.0l4q406,2,test
000021_00@ja.jpg,m.0l4q406,2,test
