image_name,id,race,split
000022_00@en.jpg,m.0d1vcf,1,test
000066_00@en.jpg,m.0d1vcf,1,test
000019_00@en.jpg,m.0d1vcf,1,test
000004_00@en.jpg,m.0d1vcf,1,test
000109_00@en.jpg,m.0d1vcf,1,test
000016_00@en.jpg,m.0d1vcf,1,test
000057_00@en.jpg,m.0d1vcf,1,test
000080_00@en.jpg,m.0d1vcf,1,test
000103_00@en.jpg,m.0d1vcf,1,test
000005_00@en.jpg,m.0d1vcf,1,test
000018_01@en.jpg,m.0d1vcf,1,test
000092_00@en.jpg,m.0d1vcf,1,test
000100_00@en.jpg,m.0d1vcf,1,train
000006_00@en.jpg,m.0d1vcf,1,train
000090_00@en.jpg,m.0d1vcf,1,train
000041_00@en.jpg,m.0d1vcf,1,train
000000_00@en.jpg,m.0d1vcf,1,train
000043_00@en.jpg,m.0d1vcf,1,train
000107_00@en.jpg,m.0d1vcf,1,train
000021_00@en.jpg,m.0d1vcf,1,train
000086_00@en.jpg,m.0d1vcf,1,train
000023_00@en.jpg,m.0d1vcf,1,train
000014_00@en.jpg,m.0d1vcf,1,train
000096_00@en.jpg,m.0d1vcf,1,train
000001_00@en.jpg,m.0d1vcf,1,train
000058_00@en.jpg,m.0d1vcf,1,train
000046_00@en.jpg,m.0d1vcf,1,train
000085_00@en.jpg,m.0d1vcf,1,train
000112_00@en.jpg,m.0d1vcf,1,train
000106_00@en.jpg,m.0d1vcf,1,train
000008_00@en.jpg,m.0d1vcf,1,train
000054_04@en.jpg,m.0d1vcf,1,train
000068_00@en.jpg,m.0d1vcf,1,train
000069_00@en.jpg,m.0d1vcf,1,train
000013_00@en.jpg,m.0d1vcf,1,train
000045_00@en.jpg,m.0d1vcf,1,train
000031_00@en.jpg,m.0d1vcf,1,train
000065_00@en.jpg,m.0d1vcf,1,train
000061_00@en.jpg,m.0d1vcf,1,train
000017_00@en.jpg,m.0d1vcf,1,train
000010_00@en.jpg,m.0d1vcf,1,train
000073_00@en.jpg,m.0d1vcf,1,train
000089_00@en.jpg,m.0d1vcf,1,train
000028_00@en.jpg,m.0d1vcf,1,train
000025_00@en.jpg,m.0d1vcf,1,train
000038_00@en.jpg,m.0d1vcf,1,train
000034_00@en.jpg,m.0d1vcf,1,train
000056_00@en.jpg,m.0d1vcf,1,train
000024_00@en.jpg,m.0d1vcf,1,train
000067_00@en.jpg,m.0d1vcf,1,train
000078_00@en.jpg,m.0d1vcf,1,train
000110_04@en.jpg,m.0d1vcf,1,train
000091_00@en.jpg,m.0d1vcf,1,train
